puma,sex,age,educ,income,latino,black,asian,married
66115,1,40,7,4500,1,0,0,1
62102,1,19,12,0,0,0,1,0
61402,1,81,9,18000,0,0,0,0
62402,1,42,4,18000,0,0,1,1
63503,1,32,10,23000,1,0,0,1
68001,1,93,9,8500,0,1,0,0
62702,1,43,10,79000,0,0,0,0
65414,1,36,2,500,1,0,0,0
68004,0,25,4,13000,1,0,0,0
65413,1,70,1,1300,1,0,0,0
64401,1,56,9,20000,0,0,0,1
62802,1,34,11,18000,0,0,0,1
67100,0,72,9,7200,0,0,1,1
66124,1,18,7,0,1,0,0,0
65416,0,58,2,45000,1,0,0,0
62708,1,44,11,45900,0,0,0,1
66200,1,34,13,25000,0,0,0,0
62103,1,52,12,30050,0,0,0,0
67200,1,54,9,11000,0,0,0,0
62705,0,60,2,19300,1,0,0,0
65412,1,39,13,38000,0,0,0,0
67501,1,25,12,1500,0,0,1,0
65100,1,71,9,14710,0,0,0,0
66119,1,28,11,8000,0,1,0,0
65200,1,19,9,0,1,0,0,0
60300,0,49,12,43700,0,0,0,1
65408,1,80,5,8500,0,0,0,0
62704,0,24,8,0,1,0,0,0
61601,1,53,10,0,1,0,0,1
63402,1,43,11,15300,1,0,0,1
62408,0,18,11,0,0,0,0,0
63800,0,26,9,25000,0,0,0,0
60100,0,67,13,37400,0,0,0,0
67502,1,32,8,16000,1,0,0,1
68106,0,19,6,0,1,0,1,0
61403,0,42,9,16500,0,0,0,0
66801,0,80,9,9600,0,0,0,1
68108,1,44,11,0,0,0,0,1
60300,0,22,9,9000,0,0,0,0
67602,0,32,12,91000,0,0,0,1
67400,0,76,9,34000,0,0,0,1
66119,1,20,13,0,1,0,0,1
62302,0,29,11,15000,1,0,0,1
62107,1,29,5,9000,0,0,0,0
66103,0,45,13,15400,1,0,0,1
68112,0,31,12,48000,0,0,0,0
62001,0,43,12,37000,0,0,0,1
68116,0,21,5,0,1,0,0,0
61506,0,19,9,3600,1,0,0,0
60600,0,22,11,4610,0,0,0,0
63200,0,75,9,48800,0,0,0,0
64800,1,45,13,67000,0,0,0,1
65415,1,34,10,45000,0,0,1,0
63301,0,49,1,3800,1,0,0,0
65900,0,54,11,90000,0,0,0,1
66117,1,31,13,42000,1,0,0,1
62709,1,66,11,9400,0,0,0,0
67502,1,41,1,1400,1,0,0,1
64200,1,26,12,24000,1,0,0,1
67300,1,39,13,0,0,0,1,1
61601,1,53,13,8650,0,0,0,1
61504,1,32,11,3000,0,0,0,1
63800,1,74,15,7300,0,0,0,0
66121,1,39,9,-880,0,0,1,1
66802,1,73,12,26000,0,0,0,1
65413,1,38,9,0,0,0,0,1
64600,0,43,2,31000,1,0,0,1
61800,0,47,6,15000,0,0,0,0
61504,1,28,13,42000,0,0,0,1
65418,1,37,7,11000,0,1,0,0
63800,0,32,8,10000,0,0,0,0
66116,0,35,9,50000,1,0,0,1
66103,1,34,11,0,0,0,1,1
62401,1,65,13,73800,0,0,0,0
61301,1,39,9,30000,0,1,0,0
65407,0,23,7,6000,1,0,0,0
65413,1,25,13,24000,0,0,0,0
60800,1,25,8,43750,0,0,0,1
65200,0,37,9,76800,1,0,1,1
61800,0,74,13,0,0,0,0,1
68108,1,28,8,33000,1,0,0,0
67601,0,38,12,60000,0,0,0,1
65100,0,53,11,57000,1,0,0,1
66116,1,56,10,18260,0,0,0,1
66119,1,30,9,11800,0,1,0,0
65900,1,49,9,24000,1,0,0,0
61101,0,40,10,40000,0,0,0,1
62701,1,28,14,20000,1,0,0,1
62305,1,35,14,0,0,0,0,1
68106,0,72,7,15170,0,0,0,1
68116,1,60,13,47360,0,0,0,0
65703,0,18,7,3000,0,0,0,0
67605,1,89,9,0,0,0,0,0
63301,1,23,13,1500,0,0,1,0
68115,1,36,13,35000,0,0,1,1
66106,0,20,10,9800,0,0,0,0
66123,1,34,8,4200,0,1,0,1
68109,0,39,13,40220,0,0,0,1
65406,1,27,8,8400,1,0,0,1
67607,1,70,13,27800,0,1,0,0
61402,0,31,8,17000,0,0,1,0
61101,1,31,12,42500,0,0,0,1
65415,1,23,5,3600,1,0,0,0
64500,0,36,11,18000,0,1,0,0
62500,0,50,13,79340,0,0,0,1
61505,0,58,13,45200,0,0,0,1
66111,0,79,4,35000,1,0,0,1
63902,1,29,12,25000,0,0,0,1
68108,0,46,13,53400,0,0,0,1
63503,1,46,9,8300,0,0,0,0
68110,1,87,9,21100,0,0,0,0
65418,0,35,9,19000,1,0,0,1
61602,1,69,7,7000,0,0,0,1
66124,0,75,9,20100,0,0,0,1
61800,0,21,9,53000,1,0,0,0
67601,1,67,14,49350,0,0,0,1
68112,0,45,12,27000,0,0,0,1
63503,0,64,11,60000,0,0,0,0
65417,1,20,1,6000,1,0,0,0
62709,0,52,3,0,1,0,0,1
62709,0,38,11,60230,0,0,0,1
60200,0,64,14,8600,0,0,0,1
68112,1,53,10,37000,0,0,0,1
68109,0,56,15,40000,0,0,0,0
68109,0,76,14,3400,0,0,0,0
61501,1,75,13,18600,0,0,0,0
61502,0,23,13,44900,0,0,0,0
65000,1,46,13,45100,0,0,1,1
66117,0,35,8,55000,0,0,0,1
67602,1,57,13,139500,0,0,0,1
63800,0,51,1,5000,0,0,0,1
61602,1,69,9,10600,0,0,0,1
66900,0,54,6,22000,0,0,0,1
66300,0,25,13,75000,0,0,0,1
62402,1,52,8,0,0,1,0,0
65300,1,84,3,7200,1,0,0,0
62406,0,33,5,46000,1,0,0,1
68116,0,24,9,24230,0,0,0,1
61303,0,48,13,77200,0,0,0,0
65410,1,26,12,0,0,0,0,1
68110,1,32,15,39000,0,0,0,0
67200,0,28,12,50300,0,0,0,0
62204,0,25,11,0,0,0,0,0
68110,0,66,13,99250,0,0,1,1
62405,1,39,1,20000,1,0,0,1
62302,1,45,13,71000,0,0,1,1
62301,0,54,14,88000,0,0,0,0
61401,1,21,11,22000,0,0,0,0
61902,1,50,9,0,0,0,0,1
61700,1,37,13,59800,1,0,0,1
65600,0,41,13,17400,0,0,0,0
65421,1,62,9,22000,0,1,0,0
66110,0,46,9,28000,0,0,1,1
63001,0,50,9,20000,0,0,0,0
63902,0,64,13,9100,0,0,0,0
66116,1,31,9,7500,1,0,0,0
63402,0,64,10,20000,1,0,0,1
62405,0,32,13,78000,0,0,1,1
61401,0,20,7,49000,0,0,0,1
64500,1,37,9,2000,0,0,0,1
62104,0,32,9,0,0,0,0,0
63301,0,73,1,18000,1,0,0,1
