ccode	country	cname	cmark	year	wars	war	warl	onset	ethonset	durest	aim	casename	ended	ethwar	waryrs	pop	lpop	polity2	gdpen	gdptype	gdpenl	lgdpenl1	lpopl1	region	western	eeurop	lamerica	ssafrica	asia	nafrme	colbrit	colfra	mtnest	lmtnest	elevdiff	Oil	ncontig	ethfrac	ef	plural	second	numlang	relfrac	plurrel	minrelpc	muslim	nwstate	polity2l	instab	anocl	deml	empethfrac	empwarl	emponset	empgdpenl	emplpopl	emplmtnest	empncontig	empolity2l	sdwars	sdonset	colwars	colonset	cowwars	cowonset	cowwarl	sdwarl	colwarl
2.0	"USA"	"USA"	1.0	1945	0.0	0.0	0.0	0.0	0.0							140969.0	11.856296	10.0	7.626	3.0	7.626	8.939319	11.856296	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.4936721	0.0	0.0	6.7971797	11.979191	3.2115722	1.0	7.68712	0.0	0.0			0.0	0.0	0.0	0.0	
2.0	"USA"	"USA"	0.0	1946	0.0	0.0	0.0	0.0	0.0							141936.0	11.8631315	10.0	7.654	3.0	7.626	8.939319	11.856296	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.3569501	0.0	0.0	6.7971797	11.979191	3.2148678	1.0	10.0	0.0	0.0			0.0	0.0	0.0	0.0	
2.0	"USA"	"USA"	0.0	1947	0.0	0.0	0.0	0.0	0.0							142713.0	11.868591	10.0	8.025	3.0	7.654	8.942984	11.8631315	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.35695007	0.0	0.0	7.654	11.8631315	3.2148678	1.0	10.0	0.0	0.0			0.0	0.0	0.0	0.0	
2.0	"USA"	"USA"	0.0	1948	0.0	0.0	0.0	0.0	0.0							145326.0	11.886735	10.0	8.27	3.0	8.025	8.990317	11.868591	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.3569501	0.0	0.0	8.025	11.868591	3.2148678	1.0	10.0	0.0	0.0			0.0	0.0	0.0	0.0	
2.0	"USA"	"USA"	0.0	1949	0.0	0.0	0.0	0.0	0.0							147987.0	11.90488	10.0	8.04	3.0	8.27	9.02039	11.886735	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.3569501	0.0	0.0	8.27	11.886735	3.2148678	1.0	10.0	0.0	0.0			0.0	0.0	0.0	0.0	
2.0	"USA"	"USA"	0.0	1950	0.0	0.0	0.0	0.0	0.0							152273.0	11.933431	10.0	8.772	0.0	8.04	8.992185	11.90488	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.3569501	0.0	0.0	8.04	11.90488	3.2148678	1.0	10.0	0.0	0.0			0.0	0.0	0.0	0.0	
2.0	"USA"	"USA"	0.0	1951	0.0	0.0	0.0	0.0	0.0							155000.0	11.95118	10.0	9.109	0.0	8.772	9.07932	11.933431	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.35695013	0.0	0.0	8.772	11.933431	3.2148678	1.0	10.0	0.0	0.0			0.0	0.0	0.0	0.0	
2.0	"USA"	"USA"	0.0	1952	0.0	0.0	0.0	0.0	0.0							157727.0	11.968621	10.0	9.074	0.0	9.109	9.117018	11.95118	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.35695013	0.0	0.0	9.109	11.95118	3.2148678	1.0	10.0	0.0	0.0			0.0	0.0	0.0	0.0	
2.0	"USA"	"USA"	0.0	1953	0.0	0.0	0.0	0.0	0.0							160475.0	11.985893	10.0	9.3	0.0	9.074	9.113169	11.968621	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.3569501	0.0	0.0	9.074	11.968621	3.2148678	1.0	10.0	0.0	0.0			0.0	0.0	0.0	0.0	
2.0	"USA"	"USA"	0.0	1954	0.0	0.0	0.0	0.0	0.0							163202.0	12.002744	10.0	9.089	0.0	9.3	9.13777	11.985893	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.3569501	0.0	0.0	9.3	11.985893	3.2148678	1.0	10.0	0.0	0.0			0.0	0.0	0.0	0.0	
2.0	"USA"	"USA"	0.0	1955	0.0	0.0	0.0	0.0	0.0							165929.0	12.019316	10.0	9.723	0.0	9.089	9.1148205	12.002744	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.3569501	0.0	0.0	9.089	12.002744	3.2148678	1.0	10.0	0.0	0.0			0.0	0.0	0.0	0.0	
2.0	"USA"	"USA"	0.0	1956	0.0	0.0	0.0	0.0	0.0							168882.0	12.036956	10.0	9.712	0.0	9.723	9.182249	12.019316	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.3569501	0.0	0.0	9.723	12.019316	3.2148678	1.0	10.0	0.0	0.0			0.0	0.0	0.0	0.0	
2.0	"USA"	"USA"	0.0	1957	0.0	0.0	0.0	0.0	0.0							171835.0	12.05429	10.0	9.643	0.0	9.712	9.181117	12.036956	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.35695013	0.0	0.0	9.712	12.036956	3.2148678	1.0	10.0	0.0	0.0			0.0	0.0	0.0	0.0	
2.0	"USA"	"USA"	0.0	1958	0.0	0.0	0.0	0.0	0.0							174767.0	12.071209	10.0	9.37	0.0	9.643	9.173987	12.05429	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.35695007	0.0	0.0	9.643	12.05429	3.2148678	1.0	10.0	0.0	0.0			0.0	0.0	0.0	0.0	
2.0	"USA"	"USA"	0.0	1959	0.0	0.0	0.0	0.0	0.0							177720.0	12.087965	10.0	9.839	0.0	9.37	9.145268	12.071209	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.3569501	0.0	0.0	9.37	12.071209	3.2148678	1.0	10.0	0.0	0.0			0.0	0.0	0.0	0.0	
2.0	"USA"	"USA"	0.0	1960	0.0	0.0	0.0	0.0	0.0							180673.0	12.1044445	10.0	9.895	0.0	9.839	9.194109	12.087965	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.3569501	0.0	0.0	9.839	12.087965	3.2148678	1.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	"USA"	"USA"	0.0	1961	0.0	0.0	0.0	0.0	0.0							183687.0	12.120989	10.0	9.946	0.0	9.895	9.199785	12.1044445	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.3569501	0.0	0.0	9.895	12.1044445	3.2148678	1.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	"USA"	"USA"	0.0	1962	0.0	0.0	0.0	0.0	0.0							186537.0	12.136385	10.0	10.358	0.0	9.946	9.204926	12.120989	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.3569501	0.0	0.0	9.946	12.120989	3.2148678	1.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	"USA"	"USA"	0.0	1963	0.0	0.0	0.0	0.0	0.0							189244.0	12.150792	10.0	10.642	0.0	10.358	9.245515	12.136385	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.3569501	0.0	0.0	10.358	12.136385	3.2148678	1.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	"USA"	"USA"	0.0	1964	0.0	0.0	0.0	0.0	0.0							191889.0	12.164672	10.0	11.072	0.0	10.642	9.272564	12.150792	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	23.900002	3.2148678	6280.0	0.0	1.0	0.3569501	0.49095702	0.691	0.125	3.0	0.59599996	56.0	28.0	1.9	0.0	10.0	0.0	0.0	1.0	0.35695007	0.0	0.0	10.642	12.150792	3.2148678	1.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
